Municipality code,Municipality,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Population2019,TotalCases
8141,Candelaria,36,7,33,39,9,3,15,136,14,2,3,1,30,16648,328
13744,Simití,4,46,7,15,7,20,72,68,11,2,5,35,34,18678,326
25394,La Palma,7,10,9,156,3,1,7,7,12,68,22,3,19,9588,324
13838,Turbaná,1,6,0,1,2,1,56,17,2,0,1,0,229,16954,316
76670,San Pedro,1,1,35,104,8,3,57,46,16,20,8,0,15,17082,314
25053,Arbeláez,3,4,0,57,12,34,137,6,12,36,0,3,7,10825,311
20787,Tamalameque,0,0,0,1,2,102,56,81,36,7,1,1,24,15790,311
76126,Calima,11,2,20,170,20,10,18,23,6,9,3,1,17,18171,310
73854,Valle de San Juan,2,1,2,56,12,1,20,46,21,9,24,12,103,5353,309
18247,El Doncello,0,57,0,0,13,68,39,52,33,12,3,0,30,19256,307
5761,Sopetrán,0,53,24,37,18,2,51,32,33,37,4,6,8,15293,305
70678,San Benito Abad,8,5,2,35,17,6,74,21,26,18,8,3,79,29282,302
50370,Uribe,15,2,3,10,4,9,33,62,72,9,1,18,63,9388,301
76020,Alcalá,2,5,1,79,7,5,16,40,38,74,17,4,12,14189,300
20614,Río de Oro,5,3,2,30,13,18,38,48,50,15,11,5,62,17346,300
13683,Santa Rosa,7,35,2,15,14,21,91,11,42,6,1,11,44,21766,300
41676,Santa María,38,20,87,67,17,6,5,26,4,1,5,1,22,10422,299
70523,Palmito,14,5,28,20,11,23,25,52,9,4,1,30,76,14635,298
76100,Bolívar,0,0,0,1,0,41,35,35,75,68,21,2,15,15828,293
66383,La Celia,2,1,0,90,0,1,4,0,1,187,0,1,3,7448,290
41872,Villavieja,28,20,8,25,8,11,19,13,16,14,12,10,106,7247,290
17001,Manizales,14,2,2,41,0,5,14,14,153,18,11,2,13,440608,289
50270,El Dorado,12,14,1,24,9,3,28,35,34,12,17,3,97,3932,289
70717,San Pedro,10,8,9,15,4,10,60,15,24,8,3,4,115,18920,285
15223,Cubará,68,15,13,51,0,2,20,23,49,18,0,18,7,10563,284
20045,Becerril,8,3,1,11,3,48,29,16,13,4,5,20,122,22542,283
5895,Zaragoza,0,24,17,7,4,16,41,21,44,5,10,14,79,25210,282
25885,Yacopí,2,4,3,60,3,0,17,2,14,83,11,1,81,12367,281
95015,Calamar,12,7,13,11,21,23,9,32,33,19,4,56,39,9801,279
41548,Pital,3,3,5,20,35,42,30,28,12,12,8,20,58,13851,276
8849,Usiacurí,9,28,8,7,1,4,18,51,75,22,12,18,23,12743,276
5425,Maceo,0,7,7,64,5,4,6,1,6,17,5,13,141,8218,276
54673,San Cayetano,8,6,10,38,13,19,46,42,20,4,4,23,43,7442,276
54385,La Esperanza,17,4,6,32,25,15,20,13,8,2,18,62,52,11941,274
8606,Repelón,28,18,5,6,0,2,95,44,33,9,11,1,21,27249,273
15667,San Luis de Gaceno,2,1,7,23,0,6,38,14,8,21,1,0,152,5476,273
5390,La Pintada,0,5,3,5,2,21,62,57,40,53,17,1,7,8298,273
5120,Cáceres,0,4,15,19,7,10,17,62,21,8,5,80,25,29716,273
5034,Andes,0,3,1,40,3,0,5,9,14,188,6,2,1,43713,272
25491,Nocaima,3,10,1,20,30,13,8,74,94,14,2,0,3,6317,272
5190,Cisneros,0,17,3,13,7,4,21,22,25,82,43,4,27,9844,268
70265,Guaranda,20,12,3,12,2,19,13,65,30,20,17,21,30,18198,264
85125,Hato Corozal,20,8,21,25,6,48,31,37,11,4,4,16,32,12203,263
68572,Puente Nacional,2,3,2,27,1,1,39,6,2,149,21,1,9,14740,263
73352,Icononzo,5,7,29,43,3,1,15,5,45,70,5,4,31,11891,263
25718,Sasaima,1,3,1,88,1,18,15,20,75,12,8,5,14,11104,261
15185,Chitaraque,7,2,2,75,0,2,48,8,43,40,8,2,24,5843,261
99624,Santa Rosalía,12,3,1,51,16,20,54,35,15,14,9,0,31,4130,261
5129,Caldas,0,0,0,0,0,7,16,15,18,174,5,7,13,81658,255
5604,Remedios,1,10,9,15,1,5,18,25,20,42,8,1,97,29061,252
50325,Mapiripán,1,1,10,115,4,9,24,20,22,9,0,14,23,7086,252
8436,Manatí,12,5,4,7,9,3,49,59,28,0,4,4,67,20698,251
13873,Villanueva,7,4,4,21,9,20,7,33,0,1,11,2,131,24581,250
68895,Zapatoca,8,10,7,73,6,7,27,25,8,21,11,2,43,9507,248
23672,San Antero,3,2,1,0,4,12,12,55,10,3,1,20,122,34520,245
47798,Tenerife,0,0,5,6,2,15,45,2,13,2,1,5,147,13354,243
73563,Prado,1,3,13,20,6,44,36,26,29,14,6,12,32,8443,242
13670,San Pablo,1,3,4,7,31,74,16,5,17,17,3,45,19,28043,242
15455,Miraflores,27,0,0,55,0,4,9,1,41,92,0,0,13,8937,242
44378,Hatonuevo,3,21,7,7,4,2,25,86,18,6,1,38,24,21151,242
76823,Toro,5,3,52,113,3,2,4,7,21,25,1,0,2,14467,238
8770,Suan,19,30,40,9,4,2,24,82,2,4,0,1,21,12282,238
70400,La Unión,2,1,15,8,13,8,21,24,29,10,0,44,60,12701,235
54660,Salazar,41,9,16,64,3,11,16,12,22,18,1,8,14,10501,235
23500,Moñitos,1,1,1,0,7,27,39,15,13,2,2,32,94,30242,234
25335,Guayabetal,1,0,2,58,5,14,59,19,17,17,1,3,37,6485,233
41518,Paicol,16,16,3,23,0,4,41,18,13,40,2,2,54,6655,232
73520,Palocabildo,2,6,2,4,0,6,29,24,32,26,17,16,68,9773,232
54820,Toledo,11,8,10,52,12,8,14,17,7,4,20,26,43,15937,232
25662,San Juan de Rioseco,8,2,2,57,4,26,14,25,43,20,13,1,17,8324,232
5585,Puerto Nare,0,24,26,9,12,32,24,23,15,11,6,6,44,14384,232
68211,Contratación,1,2,7,53,6,1,54,15,28,39,4,6,13,3683,229
73030,Ambalema,2,1,1,37,9,12,42,19,12,36,12,28,18,6596,229
27077,Bajo Baudó,0,0,0,1,6,1,13,75,108,12,1,4,5,30263,226
23574,Puerto Escondido,0,10,1,14,11,6,45,37,7,8,8,56,22,24036,225
73226,Cunday,2,8,7,7,1,17,34,5,5,16,7,23,93,8518,225
13549,Pinillos,0,1,1,29,3,7,2,64,38,11,5,3,61,24433,225
13006,Achí,25,25,5,45,8,16,4,28,45,8,5,2,6,24610,222
68051,Aratoca,9,4,10,65,4,4,29,60,12,14,5,0,3,8368,219
68720,Santa Helena del Opón,9,0,0,76,0,22,26,4,1,62,0,3,16,3393,219
85300,Sabanalarga,18,5,19,24,5,2,17,38,38,7,2,5,37,3583,217
76869,Vijes,1,1,37,84,2,3,23,3,12,38,3,2,8,12817,217
68229,Curití,1,2,53,40,10,8,29,18,16,22,2,8,7,13028,216
13810,Tiquisio,3,4,2,12,2,3,31,67,32,12,13,4,29,18584,214
73770,Suárez,4,4,3,10,8,4,5,26,20,10,48,19,52,3788,213
5480,Mutatá,0,1,8,0,13,10,18,24,16,13,1,28,81,14196,213
15531,Pauna,0,5,0,69,1,6,5,1,28,95,2,0,1,7198,213
18756,Solano,46,1,0,2,5,22,50,6,37,26,5,3,10,11359,213
5282,Fredonia,0,2,2,4,2,0,2,3,2,183,10,2,1,24553,213
54344,Hacarí,2,3,5,15,0,4,8,8,47,42,23,27,28,10342,212
85230,Orocué,15,4,26,12,10,7,26,13,16,3,5,8,66,12514,211
5809,Titiribí,0,0,0,28,0,1,0,2,10,145,6,1,17,10716,210
5591,Puerto Triunfo,1,11,4,32,5,5,16,45,35,13,8,1,34,18550,210
76036,Andalucía,7,1,15,79,2,3,29,18,18,14,0,2,21,22515,209
5858,Vegachí,0,0,1,23,2,27,74,7,0,6,6,0,62,11910,208
5313,Granada,0,175,1,3,4,6,3,5,3,6,0,0,0,9870,206
13600,Río Viejo,8,10,3,3,1,5,117,20,12,1,3,4,17,10638,204
41244,Elías,11,1,1,13,5,19,2,13,97,20,2,0,20,4257,204
18150,Cartagena del Chairá,29,3,8,9,10,45,19,18,5,11,3,1,40,30778,201
70771,Sucre,5,0,4,13,0,9,14,71,13,11,2,6,52,30253,200
68855,Valle de San José,5,0,5,30,9,15,44,32,5,15,3,3,34,6222,200
23675,San Bernardo del Viento,0,3,0,1,3,11,14,39,3,5,4,27,88,37052,198
23090,Canalete,0,1,2,2,1,3,8,50,5,22,16,26,61,15385,197
81220,Cravo Norte,0,42,72,12,26,10,2,6,5,10,5,2,5,4042,197
70429,Majagual,5,5,9,35,8,15,9,15,32,6,4,26,28,37564,197
5792,Tarso,0,27,0,9,21,1,1,60,55,5,4,2,11,6194,196
73236,Dolores,1,0,3,115,6,7,49,4,5,1,0,0,3,8250,194
13160,Cantagallo,12,2,5,6,2,9,65,46,6,14,3,4,19,8488,193
13042,Arenal,0,1,3,2,2,1,135,9,9,0,2,2,27,7590,193
25489,Nimaima,1,0,2,9,54,10,17,1,83,11,0,1,3,3665,192
25797,Tena,1,0,1,35,2,10,48,20,13,35,2,3,22,10065,192
5660,San Luis,0,0,0,0,0,0,81,11,46,32,6,0,15,13035,191
44110,El Molino,23,9,0,20,1,1,54,25,21,4,0,29,1,7574,188
23419,Los Córdobas,7,3,1,5,6,4,47,21,2,3,25,9,53,19038,186
17444,Marquetalia,44,2,0,29,3,7,20,14,14,28,7,1,14,13368,183
68573,Puerto Parra,4,0,3,9,30,37,44,8,3,0,3,3,38,7846,182
17616,Risaralda,2,11,5,77,2,3,9,9,7,48,5,2,1,10640,181
15681,San Pablo de Borbur,0,0,0,92,0,14,24,19,17,11,1,1,1,6664,180
23300,Cotorra,2,0,0,0,2,2,56,93,9,3,0,3,10,19315,180
23464,Momil,3,6,1,0,2,22,37,22,10,16,2,5,53,19876,179
25148,Caparrapí,2,1,16,64,9,15,25,8,8,15,0,3,11,12714,177
41359,Isnos,1,3,3,23,9,52,6,20,9,16,10,9,16,25463,177
23678,San Carlos,4,9,7,6,12,12,13,39,14,5,1,9,45,27174,176
5667,San Rafael,1,0,2,65,1,1,40,10,16,32,0,0,8,15632,176
68320,Guadalupe,0,0,0,0,0,2,76,77,6,9,1,0,4,4473,175
5411,Liborina,0,1,0,9,0,0,19,9,7,39,83,4,3,10040,174
19450,Mercaderes,6,0,0,87,1,1,46,4,8,13,0,7,1,22901,174
70204,Colosó,9,11,29,7,14,10,21,17,8,5,2,1,38,8670,172
66075,Balboa,0,1,1,18,0,3,5,6,61,39,8,13,15,6348,170
70110,Buenavista,11,2,4,17,1,7,22,30,33,4,3,0,35,10727,169
25151,Cáqueza,0,3,0,10,1,10,64,47,3,10,6,1,12,17480,167
17614,Riosucio,2,2,3,25,1,3,0,5,24,98,1,0,3,51371,167
25524,Pandi,0,7,0,53,2,0,25,8,27,42,2,0,0,5146,166
19845,Villa Rica,1,5,18,43,2,5,17,15,22,28,2,4,2,21000,164
18256,El Paujíl,0,26,0,0,6,38,18,14,23,11,3,1,22,18251,162
68533,Páramo,22,8,4,13,3,5,36,17,16,14,1,5,17,4773,161
68266,Enciso,2,26,4,9,2,1,1,2,77,29,1,0,6,3444,160
5091,Betania,0,0,0,20,0,0,2,3,4,115,11,3,2,10274,160
54680,Santiago,12,6,32,16,17,9,3,24,13,4,4,10,8,3537,158
5284,Frontino,0,13,1,68,2,3,10,2,0,13,30,13,3,20657,158
70124,Caimito,7,4,1,22,9,1,16,18,24,1,3,6,46,15668,158
5138,Cañasgordas,0,2,6,1,6,2,27,2,75,26,6,1,3,15490,157
13212,Córdoba,0,2,1,4,7,15,10,13,13,24,4,3,60,16225,156
70233,El Roble,1,3,25,4,3,1,14,24,6,0,0,8,67,10215,156
5854,Valdivia,0,2,4,3,3,4,3,6,16,66,7,4,36,13950,154
70235,Galeras,6,2,10,6,6,6,23,27,38,2,0,1,26,22673,153
19318,Guapí,1,0,2,16,6,39,7,21,28,16,5,6,5,27619,152
15212,Coper,0,0,0,0,0,0,0,0,2,130,19,0,1,3585,152
47545,Pijiño del Carmen,0,3,0,58,1,2,8,32,12,2,0,2,32,12548,152
47660,Sabanas de San Ángel,0,1,41,1,0,0,1,27,13,4,0,44,20,16247,152
68549,Pinchote,16,9,10,30,6,0,20,21,10,18,3,1,7,5285,151
76497,Obando,0,6,7,58,4,4,17,11,5,24,8,2,3,12140,149
18094,Belén de Los Andaquíes,0,3,0,0,18,31,47,7,6,3,0,2,32,11102,149
15664,San José de Pare,2,0,1,103,0,1,12,1,0,22,5,1,1,4989,149
13490,Norosí,0,0,0,1,2,3,27,34,19,2,2,9,50,9587,149
44098,Distracción,3,1,5,12,4,6,18,33,12,21,1,18,13,13706,147
76606,Restrepo,1,2,10,28,3,4,7,9,18,28,30,1,6,15295,147
52001,Pasto,3,8,10,45,9,7,19,23,3,10,0,1,8,392748,146
44855,Urumita,3,11,2,25,2,4,25,11,29,3,0,26,5,11114,146
23168,Chimá,0,10,1,2,13,1,14,41,12,2,0,1,49,17738,146
68444,Matanza,11,0,4,42,3,4,15,12,7,19,15,1,13,4999,146
27430,Medio Baudó,0,0,1,14,11,4,2,3,20,60,15,1,15,15405,146
25513,Pacho,3,3,1,11,2,3,11,12,12,61,5,5,16,25046,145
68773,Sucre,7,19,18,74,14,0,3,3,1,3,0,1,1,7103,144
5361,Ituango,0,0,1,13,3,6,2,3,8,103,3,0,2,27419,144
54313,Gramalote,27,31,11,44,3,2,5,13,4,0,0,2,2,7524,144
73024,Alpujarra,3,1,5,28,1,58,28,2,5,4,0,1,7,4493,143
68176,Chima,18,6,0,31,5,0,55,3,7,1,3,3,11,2865,143
68432,Málaga,11,8,7,47,5,4,16,22,4,9,4,1,5,21339,143
54051,Arboledas,5,1,18,30,0,0,20,37,11,6,0,2,13,9860,143
70230,Chalán,1,4,13,2,11,4,20,23,38,6,0,0,20,4537,142
18410,La Montañita,19,4,6,27,7,32,6,5,9,5,3,0,19,14662,142
5543,Peque,0,0,0,66,6,3,2,0,0,58,4,1,0,8186,140
73124,Cajamarca,1,1,3,52,9,6,9,18,18,12,3,0,7,18443,139
47258,El Piñón,2,16,4,0,2,0,8,1,74,2,0,0,30,23400,139
5861,Venecia,0,12,16,13,5,2,2,9,5,63,9,1,1,11636,138
18610,San José del Fragua,0,2,0,0,40,27,9,16,0,1,1,1,41,12949,138
17042,Anserma,2,3,0,52,12,1,1,2,20,40,1,0,4,36405,138
76054,Argelia,1,1,7,103,1,0,1,5,5,8,5,0,0,5258,137
5649,San Carlos,0,1,0,0,0,0,0,76,9,26,7,8,9,15940,136
47720,Santa Bárbara de Pinto,3,0,1,13,2,27,68,6,10,1,1,0,3,10977,135
68498,Ocamonte,6,2,2,74,5,10,7,8,7,3,4,1,4,5740,133
25596,Quipile,0,3,1,27,6,2,9,2,9,59,1,0,14,6380,133
19142,Caloto,1,10,11,60,7,2,9,3,8,6,2,3,10,30143,132
5353,Hispania,0,0,0,50,1,0,0,1,9,60,4,2,0,5530,127
17013,Aguadas,2,5,3,66,3,1,4,5,28,3,6,0,0,22907,126
25823,Topaipí,0,0,0,2,0,0,1,9,94,15,0,0,5,4189,126
54239,Durania,3,4,37,33,1,1,10,7,2,3,2,2,20,4693,125
85400,Támara,6,3,2,19,2,8,15,5,4,7,2,4,48,6671,125
19533,Piamonte,2,0,1,1,10,3,2,4,7,1,5,56,32,9004,124
15377,Labranzagrande,0,0,0,1,0,26,7,1,26,6,0,0,57,3501,124
68209,Confines,24,0,8,24,4,1,8,15,4,6,12,6,12,3233,124
13780,Talaigua Nuevo,2,0,0,23,4,0,2,5,55,3,2,3,24,13106,123
13433,Mahates,17,1,1,4,3,3,20,22,1,1,0,2,47,28602,122
41483,Nátaga,6,1,6,69,1,12,12,3,4,1,2,0,5,6520,122
25123,Cachipay,1,1,2,23,2,2,12,6,2,13,3,2,52,10324,121
68861,Vélez,8,5,5,12,3,12,8,4,10,6,1,3,43,24843,120
19513,Padilla,1,1,9,38,2,1,13,5,13,22,2,4,9,9953,120
13458,Montecristo,4,5,2,13,4,10,20,3,6,9,5,22,17,17017,120
54398,La Playa,2,4,3,8,5,4,10,11,5,30,7,8,22,7821,119
25867,Vianí,0,1,1,14,1,19,5,6,34,35,1,1,1,4497,119
13030,Altos del Rosario,1,0,1,3,0,0,1,4,27,13,1,1,66,11309,118
81591,Puerto Rondón,2,3,7,16,1,18,30,7,9,0,1,5,18,4688,117
25040,Anolaima,0,0,2,9,3,3,2,10,41,40,1,0,5,14161,116
17867,Victoria,7,15,8,5,5,5,30,13,9,1,2,2,14,10255,116
15442,Maripí,0,0,0,0,0,0,0,0,0,81,20,2,12,5697,115
15401,La Victoria,4,10,13,77,10,0,0,0,0,0,0,0,0,1118,114
19050,Argelia,0,4,1,9,35,0,1,0,11,45,2,3,2,26376,113
41026,Altamira,6,0,1,33,4,3,4,15,13,23,0,3,8,4323,113
15810,Tipacoque,0,0,0,72,0,0,3,0,0,21,1,0,13,3299,110
27615,Riosucio,0,5,3,0,0,1,3,0,3,66,3,2,24,54458,110
25258,El Peñón,0,0,0,24,0,1,5,0,7,55,14,0,3,4710,109
76403,La Victoria,0,0,0,0,0,9,15,27,13,18,3,9,15,11981,109
8137,Campo de La Cruz,7,1,10,8,4,0,14,23,5,0,4,0,32,23230,108
17272,Filadelfia,1,0,0,63,2,1,1,1,1,37,0,0,0,11399,107
94343,Barranco Minas,3,3,0,1,0,0,3,76,5,1,0,0,15,8042,107
18860,Valparaíso,0,14,0,0,5,29,14,2,14,23,1,0,5,6968,107
17662,Samaná,2,0,2,2,1,1,26,6,35,13,2,4,13,20116,107
76863,Versalles,6,5,2,15,1,2,2,2,13,55,3,0,1,7070,107
13894,Zambrano,0,0,5,5,2,0,39,3,6,2,1,4,40,12113,107
68296,Galán,0,0,2,35,1,2,38,6,3,10,1,1,6,2883,105
15518,Pajarito,0,1,5,6,0,17,24,9,9,10,1,0,23,2400,105
52079,Barbacoas,8,0,0,4,3,0,7,9,11,11,19,15,17,56195,104
8549,Piojó,2,14,5,9,3,0,14,22,24,3,0,7,0,6873,103
5044,Anzá,0,1,0,37,20,0,9,28,2,0,1,0,5,7085,103
5789,Támesis,1,2,0,63,1,2,2,3,3,23,1,0,1,16193,102
15131,Caldas,6,8,11,64,7,0,2,1,1,0,0,0,2,3127,102
19785,Sucre,0,0,0,0,0,1,6,7,5,75,2,0,5,9582,101
68217,Coromoro,1,2,1,47,3,0,1,3,1,11,22,7,2,5009,101
13580,Regidor,0,0,2,8,1,0,42,20,14,3,0,0,10,6983,100
25754,Soacha,6,1,11,24,6,13,23,6,2,2,0,0,5,709276,99
54518,Pamplona,30,5,14,19,2,2,9,7,3,4,1,0,3,52240,99
15299,Garagoa,0,0,1,66,1,6,12,5,3,2,0,0,2,18144,98
25398,La Peña,9,11,4,13,4,1,21,1,7,8,5,5,8,5976,97
5842,Uramita,0,0,15,0,0,2,3,34,29,13,0,0,1,6875,97
25805,Tibacuy,0,0,0,12,0,0,0,2,5,74,0,0,3,4477,96
47268,El Retén,0,2,1,0,1,0,6,17,2,2,0,53,12,20455,96
68327,Güepsa,1,13,10,38,0,6,2,3,2,1,1,0,18,5222,95
41530,Palestina,2,2,1,36,3,5,6,9,7,9,4,3,7,11282,94
76845,Ulloa,20,0,2,19,2,0,1,0,0,35,1,0,14,5412,94
25592,Quebradanegra,1,0,4,22,5,11,11,17,4,8,2,1,6,4807,92
5142,Caracolí,0,3,0,0,3,0,17,37,5,5,3,3,16,4537,92
5885,Yalí,0,1,11,54,1,2,9,2,0,4,0,0,7,7630,91
5002,Abejorral,0,1,0,79,1,0,0,0,2,5,1,2,0,20258,91
63272,Filandia,7,5,0,10,3,4,3,3,10,23,6,10,6,12154,90
5093,Betulia,0,4,1,6,0,2,2,2,2,49,12,8,1,15736,89
66456,Mistrató,4,8,4,34,9,0,2,4,9,10,0,1,3,17110,88
27491,Nóvita,0,0,4,11,49,13,0,3,1,3,0,1,3,9116,88
15580,Quípama,0,1,0,3,0,0,2,2,16,62,1,1,0,4939,88
41660,Saladoblanco,3,1,4,16,8,13,9,1,1,3,1,2,25,10502,87
73873,Villarrica,0,1,2,5,0,1,41,24,3,4,2,1,3,5021,87
68298,Gámbita,1,1,2,44,3,6,11,5,5,5,3,0,1,4008,87
5642,Salgar,0,1,2,2,0,0,19,29,5,22,1,0,5,18218,86
47960,Zapayán,0,13,6,1,0,0,9,24,0,0,0,4,29,10293,86
23682,San José de Uré,0,0,0,0,0,1,11,5,11,0,2,54,2,13584,86
68669,San Andrés,0,0,0,0,0,9,4,4,9,55,3,0,2,8613,86
19300,Guachené,0,0,0,2,5,2,17,4,17,15,2,0,21,19850,85
17433,Manzanares,1,0,0,72,0,1,2,7,0,0,0,0,2,17805,85
23079,Buenavista,0,0,9,1,2,10,3,21,9,3,2,16,6,21274,82
76243,El Águila,0,0,0,13,3,14,1,14,3,18,6,1,9,8696,82
68524,Palmas del Socorro,0,1,3,14,2,0,26,3,10,15,2,0,6,2584,82
19110,Buenos Aires,0,0,1,8,0,4,5,10,12,32,4,0,6,31754,82
47703,San Zenón,0,1,0,3,3,4,4,9,14,22,0,4,17,12104,81
15135,Campohermoso,0,0,1,38,0,1,0,2,34,2,0,0,3,3082,81
13620,San Cristóbal,2,0,0,3,0,0,8,11,2,0,1,1,51,8330,79
68322,Guapotá,2,2,1,23,4,1,8,3,1,1,1,0,31,2394,78
68160,Cepitá,5,3,0,0,0,0,19,23,9,15,2,0,2,2018,78
15104,Boyacá,6,2,13,24,4,3,6,3,5,6,0,2,4,5103,78
47030,Algarrobo,8,1,0,4,1,0,9,10,1,0,0,21,23,16194,78
27205,Condoto,1,0,1,16,22,16,4,4,4,5,1,1,3,12464,78
15514,Páez,2,0,1,54,4,0,4,8,1,1,0,0,2,3256,77
68092,Betulia,2,1,4,9,7,19,7,14,3,3,3,0,3,6003,75
23350,La Apartada,0,2,0,0,0,7,1,12,8,3,2,16,24,15058,75
27800,Unguía,0,21,3,13,3,0,0,3,1,1,1,4,25,12821,75
13760,Soplaviento,1,1,3,6,0,1,0,28,30,0,0,1,4,10733,75
5040,Anorí,0,7,0,6,1,1,3,10,21,3,4,3,16,18737,75
18479,Morelia,0,0,0,0,9,42,4,2,5,11,0,1,1,3718,75
54377,Labateca,3,8,8,28,4,0,4,4,1,0,1,6,8,6443,75
25168,Chaguaní,0,0,0,27,0,0,16,0,3,0,0,0,28,4255,74
5240,Ebéjico,0,0,1,11,0,2,2,0,6,46,3,3,0,12108,74
13188,Cicuco,0,3,1,5,0,0,10,4,32,10,6,0,2,13903,73
27580,Río Iró,0,0,0,23,24,4,0,1,15,5,0,0,1,5537,73
47570,Puebloviejo,2,0,2,1,1,7,27,5,4,2,0,1,21,31151,73
13442,María La Baja,0,4,0,2,0,3,3,14,16,1,0,3,26,47389,72
13140,Calamar,0,0,0,0,0,1,8,36,5,3,1,8,10,22794,72
54670,San Calixto,2,1,1,6,1,0,2,6,5,17,4,3,23,12127,71
52520,Francisco Pizarro,2,0,0,0,2,0,15,22,1,1,1,0,27,14176,71
5059,Armenia,1,13,1,15,2,2,2,9,9,16,0,0,1,5085,71
54599,Ragonvalia,2,3,5,19,1,4,4,22,2,1,1,1,6,6149,71
18460,Milán,0,1,0,0,7,29,25,1,3,3,0,0,1,9838,70
68101,Bolívar,0,0,0,0,0,3,15,12,13,4,2,2,19,11073,70
19517,Páez,0,0,0,0,0,6,3,28,15,10,2,2,4,46278,70
17088,Belalcázar,6,0,2,35,2,0,5,1,9,7,0,0,1,10634,68
19256,El Tambo,0,0,1,27,0,1,21,3,2,9,1,1,1,53840,67
91407,La Pedrera,1,0,0,1,1,1,0,44,2,3,0,0,14,3882,67
5887,Yarumal,0,3,0,13,4,1,3,11,13,11,4,1,3,42116,67
13673,Santa Catalina,0,3,0,3,0,0,13,3,3,1,1,1,38,14747,66
13647,San Estanislao,3,2,0,0,1,2,3,5,4,0,1,1,44,18729,66
5615,Rionegro,4,2,3,22,6,3,12,6,5,0,1,0,2,139553,66
5197,Cocorná,0,1,0,3,0,2,0,1,1,38,2,1,17,15042,66
68684,San José de Miranda,6,0,1,8,2,3,12,7,6,11,1,3,6,4313,66
66594,Quinchía,14,7,0,19,1,3,1,2,3,12,3,0,1,27235,66
25645,San Antonio del Tequendama,0,1,1,5,1,2,1,3,10,22,10,2,7,12340,65
17653,Salamina,0,0,1,26,2,1,0,17,3,13,2,0,0,19387,65
18785,Solita,0,7,0,0,10,19,15,6,2,1,0,0,5,6280,65
19780,Suárez,0,0,0,0,0,1,4,3,2,22,4,0,28,32226,64
54871,Villa Caro,10,2,1,8,0,2,15,14,0,1,0,1,10,5172,64
25269,Facatativá,1,0,1,7,7,14,24,2,3,2,1,1,0,148001,63
27810,Unión Panamericana,1,0,2,17,24,7,3,0,0,2,0,1,6,6909,63
25095,Bituima,0,2,0,9,0,1,10,16,1,22,0,1,0,2507,62
23586,Purísima de La Concepción,0,6,3,2,2,3,12,20,1,3,0,4,6,17411,62
66572,Pueblo Rico,31,0,3,10,1,0,1,3,5,6,0,0,2,16309,62
63111,Buenavista,2,0,0,26,1,1,4,2,12,9,0,2,3,3107,62
19809,Timbiquí,0,5,0,14,4,4,3,6,7,3,6,4,5,26363,61
20310,González,0,2,1,3,2,2,1,1,1,11,2,0,35,4469,61
85015,Chámeza,0,1,5,7,1,0,1,1,1,0,1,0,43,2571,61
41378,La Argentina,2,1,2,31,1,2,4,4,2,10,0,0,2,13021,61
68344,Hato,11,0,16,14,0,0,10,2,4,2,0,1,1,2349,61
54418,Lourdes,1,4,4,12,7,5,6,10,6,4,0,1,0,4091,60
13222,Clemencia,0,1,0,2,2,8,9,7,0,0,4,0,27,15014,60
52250,El Charco,1,4,0,0,1,8,3,6,16,3,3,3,12,22528,60
27006,Acandí,0,1,0,2,5,0,1,15,1,6,2,14,12,14085,59
5670,San Roque,0,3,2,2,1,5,6,8,4,23,1,0,4,21533,59
19548,Piendamó - Tunía,0,0,0,6,7,2,6,15,13,7,0,1,1,41362,58
5756,Sonsón,1,4,0,7,3,1,3,6,3,3,0,2,25,36394,58
5347,Heliconia,1,2,0,1,0,0,0,6,4,41,0,2,1,5400,58
25518,Paime,0,0,0,0,1,0,0,44,3,4,5,0,0,4206,57
73043,Anzoátegui,0,0,1,4,2,1,6,12,5,6,4,1,14,10110,56
73870,Villahermosa,0,0,1,13,0,0,1,1,6,12,4,4,14,9216,56
13268,El Peñón,0,2,0,3,0,1,2,2,44,0,0,0,2,7884,56
19075,Balboa,1,0,2,22,2,2,10,1,1,11,1,1,2,21270,56
68250,El Peñón,1,1,0,1,0,0,3,3,1,1,1,0,44,5405,56
5113,Buriticá,0,0,0,1,0,0,1,1,3,12,26,1,10,9502,55
5647,San Andrés de Cuerquía,0,0,0,0,0,1,2,5,4,4,1,0,38,7240,55
27073,Bagadó,0,1,0,1,1,0,0,1,12,31,4,2,1,11149,54
13655,San Jacinto del Cauca,0,4,8,4,1,3,10,0,2,7,3,9,3,10305,54
13650,San Fernando,4,0,0,9,0,0,1,2,16,6,1,0,14,12813,53
8675,Santa Lucía,4,3,1,6,2,2,2,23,2,5,0,0,3,16624,53
13440,Margarita,1,0,0,13,2,6,3,1,9,8,1,0,9,10913,53
27450,Medio San Juan,0,0,3,21,0,7,1,0,9,6,3,0,3,10718,53
25483,Nariño,0,0,1,7,7,3,6,6,3,2,4,11,2,2395,52
27135,El Cantón del San Pablo,0,0,0,8,12,8,4,0,11,2,1,1,4,6210,51
47675,Salamina,2,2,5,2,0,0,9,3,24,0,0,1,3,11043,51
25175,Chía,2,2,8,16,1,2,8,1,2,3,0,2,4,141308,51
68464,Mogotes,4,2,2,6,5,1,4,11,1,10,1,1,3,10576,51
13248,El Guamo,12,2,0,1,2,1,9,2,2,11,2,3,4,8825,51
