Municipality code,Municipality,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Population2019,TotalCases
76122,Caicedonia,24,4,45,115,7,17,45,57,127,89,22,18,39,28609,609
70823,Tolú Viejo,18,7,20,34,20,18,44,83,87,15,5,12,244,21850,607
13657,San Juan Nepomuceno,8,5,2,10,15,6,33,193,25,3,5,86,206,37765,597
76113,Bugalagrande,0,4,20,79,19,23,78,49,132,63,28,13,79,24400,587
20175,Chimichagua,8,2,2,11,5,15,111,19,71,28,5,19,288,35269,584
50223,Cubarral,10,9,21,23,5,54,97,5,107,7,5,15,223,7019,581
41799,Tello,9,13,26,7,40,74,25,49,116,21,12,11,175,11775,578
23580,Puerto Libertador,7,44,41,30,14,62,81,55,20,12,11,150,49,42835,576
54800,Teorama,6,0,14,18,8,41,27,66,37,94,42,45,175,17040,573
99773,Cumaribo,78,7,8,67,76,25,47,92,52,55,16,6,39,76196,568
5079,Barbosa,0,2,12,100,21,13,37,14,17,125,107,78,40,53242,566
27001,Quibdó,18,5,13,152,29,24,60,60,55,72,12,5,57,130042,562
50110,Barranca de Upía,11,5,43,106,22,39,33,19,27,17,2,96,139,6513,559
41885,Yaguará,21,32,11,105,44,16,36,105,20,9,10,2,144,7774,555
68770,Suaita,0,0,4,62,22,8,52,14,144,79,49,13,105,10086,552
73067,Ataco,12,7,5,22,35,34,76,26,15,23,29,25,243,19195,552
66088,Belén de Umbría,6,2,9,177,38,5,3,2,66,181,18,9,33,24660,549
20383,La Gloria,16,5,3,20,6,26,104,144,150,21,6,15,33,17858,549
5172,Chigorodó,0,14,9,24,17,50,44,52,7,16,18,134,161,58684,546
68418,Los Santos,46,15,71,28,13,18,181,66,45,25,14,6,17,14485,545
25878,Viotá,10,30,4,84,24,37,51,76,34,25,13,4,150,13508,542
50577,Puerto Lleras,24,16,16,39,39,53,78,54,52,11,3,8,125,10359,518
15686,Santana,2,1,4,132,0,0,17,42,38,218,55,0,8,7643,517
68147,Capitanejo,5,7,13,42,5,12,90,34,27,14,4,13,250,5479,516
20250,El Paso,4,9,0,8,16,43,100,53,28,9,3,32,207,39365,512
19001,Popayán,3,8,28,305,28,6,23,8,24,50,3,3,17,321991,506
20570,Pueblo Bello,22,6,1,29,10,96,50,47,123,21,6,9,84,28298,504
5656,San Jerónimo,0,0,29,20,11,3,56,9,20,287,39,8,21,15710,503
23189,Ciénaga de Oro,6,9,7,4,31,63,38,178,36,17,5,35,73,59871,502
50251,El Castillo,14,81,40,50,6,10,19,24,10,46,59,16,124,7619,499
44560,Manaure,69,57,28,50,30,59,77,29,9,1,8,57,24,88881,498
50330,Mesetas,4,6,2,13,2,15,27,17,92,5,2,14,296,10706,495
5051,Arboletes,0,49,12,5,15,54,41,27,44,51,50,96,49,29942,493
18205,Curillo,37,46,9,102,75,49,6,4,22,57,3,2,76,7683,488
8560,Ponedera,1,6,11,40,2,3,185,104,62,13,3,6,51,24877,487
5736,Segovia,0,11,21,84,13,54,33,17,29,67,7,8,143,38692,487
23182,Chinú,9,17,13,19,45,44,34,105,24,5,3,10,157,48323,485
5665,San Pedro de Urabá,2,16,4,15,11,34,67,39,12,13,25,164,82,31571,484
47707,Santa Ana,0,7,3,14,2,9,74,64,105,16,2,2,181,25750,479
41078,Baraya,14,6,4,39,27,27,12,55,29,12,16,7,225,8282,473
